cord_uid;organization;title;doi;license;publish_time;authors;journal;url
0ptgzh6u;Medline;Bovine aortic arch: predictor of entry site and risk factor for neurologic injury in acute type a dissection.;10.1016/j.athoracsur.2014.05.086;unk;2014;Dumfarth, Julia- Plaikner, Michaela- Krapf, Christoph- Bonaros, Nikolaos- Semsroth, Severin- Rizzo, John A- Fang, Hai- Grimm, Michael- Elefteriades, John A- Schachner, Thomas;The Annals of thoracic surgery;"https://doi.org/10.1016/j.athoracsur.2014.05.086; https://www.ncbi.nlm.nih.gov/pubmed/25149052/"
oshnna8o;Medline;Clinical Evaluation of the New High-Throughput Luminex NxTAG Respiratory Pathogen Panel Assay for Multiplex Respiratory Pathogen Detection.;10.1128/jcm.00517-16;unk;2016;Chen, Jonathan H K- Lam, Ho-Yin- Yip, Cyril C Y- Wong, Sally C Y- Chan, Jasper F W- Ma, Edmond S K- Cheng, Vincent C C- Tang, Bone S F- Yuen, Kwok-Yung;Journal of clinical microbiology;"https://doi.org/10.1128/jcm.00517-16; https://www.ncbi.nlm.nih.gov/pubmed/27122380/"
mft333xe;Medline;High-risk patients with inoperative aortic stenosis: use of transapical, transaortic, and transcarotid techniques.;10.1016/j.athoracsur.2014.10.012;unk;2015;Thourani, Vinod H- Li, Chun- Devireddy, Chandan- Jensen, Hanna A- Kilgo, Patrick- Leshnower, Bradley G- Mavromatis, Kreton- Sarin, Eric L- Nguyen, Tom C- Kanitkar, Mihir- Guyton, Robert A- Block, Peter C- Maas, Amanda L- Simone, Amy- Keegan, Patricia- Merlino, John- Stewart, James P- Lerakis, Stamatios- Babaliaros, Vasilis;The Annals of thoracic surgery;"https://doi.org/10.1016/j.athoracsur.2014.10.012; https://www.ncbi.nlm.nih.gov/pubmed/25596868/"
aawktlkz;Medline;Dextrin-based nanomagnetogel: in vivo biodistribution and stability.;10.1021/acs.bioconjchem.5b00024;unk;2015;Gonçalves, C- Silva, J P- Antunes, I F- Ferreira, M F M- Martins, J A- Geraldes, C F G C- Lalatonne, Y- Motte, L- de Vries, E F J- Gama, F M;Bioconjugate chemistry;"https://doi.org/10.1021/acs.bioconjchem.5b00024; https://www.ncbi.nlm.nih.gov/pubmed/25734258/"
eas75gr6;Medline;COVID-19 and laparoscopic surgery, a scoping review of current literature and local expertise.;10.2196/18928;unk;13/5/2020;de Leeuw, Robert Adrianus- Burger, Nicole Birgit- Ceccaroni, Marcello- Zhang, Jian- Tuynman, Jurriaan- Mabrouk, Mohammed- Barri, Perre- Bonjer, Jaap- Ankum, Pim- Huirne, Judith;JMIR public health and surveillance;"https://doi.org/10.2196/18928; https://www.ncbi.nlm.nih.gov/pubmed/32406853/"
6hpacwtq;Medline;Decreased incidence of vaginal cuff dehiscence after laparoscopic closure with bidirectional barbed suture.;10.1016/j.jmig.2011.01.002;unk;2011;Siedhoff, Matthew T- Yunker, Amanda C- Steege, John F;Journal of minimally invasive gynecology;"https://doi.org/10.1016/j.jmig.2011.01.002; https://www.ncbi.nlm.nih.gov/pubmed/21354068/"
bf55ovx8;Medline;Photoplethysmographic assessment of pulse transit time correlates with echocardiographic measurement of stroke volume in preterm infants with patent ductus arteriosus.;10.1038/s41372-018-0165-0;unk;2018;Amirtharaj, Cynthia R- Palmeri, Lynn C- Gradwohl, Gideon- Adar, Yair- Nitzan, Meir- Gruber, Dorota- Blaufox, Andrew- Meyer, David B- Kwon, Elena N- Koppel, Robert;Journal of perinatology : official journal of the California Perinatal Association;"https://doi.org/10.1038/s41372-018-0165-0; https://www.ncbi.nlm.nih.gov/pubmed/29961764/"
zmomtlk9;Medline;COVID-19 complicated by pulmonary embolism treated with catheter directed thrombectomy.;10.1024/0301-1526/a000880;unk;28/5/2020;Galastri, Francisco Leonardo- Valle, Leonardo Guedes Moreira- Affonso, Breno Boueri- Silva, Marcela Juliano- Garcia, Rodrigo Gobbo- Junior, Milton Rodrigues- Ferraz, Leonardo Jose Rolim- de Matos, Gustavo Faissol Janot- de la Cruz Scarin, Farah Christina- Nasser, Felipe;VASA. Zeitschrift fur Gefasskrankheiten;"https://doi.org/10.1024/0301-1526/a000880; https://www.ncbi.nlm.nih.gov/pubmed/32462990/"
c41plqkp;Medline;Knowledge and awareness regarding spread and prevention of COVID-19 among the young adults of Karachi.;10.5455/jpma.40;unk;1/5/2020;Mubeen, Syed Muhammad- Kamal, Shaheera- Kamal, Sufiyan- Balkhi, Fizra;JPMA. The Journal of the Pakistan Medical Association;"https://doi.org/10.5455/jpma.40; https://www.ncbi.nlm.nih.gov/pubmed/32515406/"
13j8bdtz;Medline;Transmission ecology of rodent-borne diseases: New frontiers.;10.1111/1749-4877.12149;unk;2015;Bordes, Frédéric- Blasdell, Kim- Morand, Serge;Integrative zoology;"https://doi.org/10.1111/1749-4877.12149; https://www.ncbi.nlm.nih.gov/pubmed/26176684/"
rmzfng2s;Medline;Vitamin A and vaccination.;10.1089/vim.2012.ed.25.4;unk;2012;Woodland, David;Viral immunology;"https://doi.org/10.1089/vim.2012.ed.25.4; https://www.ncbi.nlm.nih.gov/pubmed/22876771/"
tmt1pmw9;Medline;Use of Handheld Transceiver for Hospital Healthcare Workers-Caregiver Communication During the Coronavirus disease 2019 (COVID-19) Outbreak in Pediatric Emergency Department.;10.1097/inf.0000000000002689;unk;13/4/2020;Curatola, Antonietta- Ferretti, Serena- Gatto, Antonio- Chiaretti, Antonio;The Pediatric infectious disease journal;"https://doi.org/10.1097/inf.0000000000002689; https://www.ncbi.nlm.nih.gov/pubmed/32287053/"
2gi1q9v5;Medline;Transvenous embolization: a report of 4 pediatric cases.;10.3171/2014.11.peds13437;unk;2015;Renieri, Leonardo- Limbucci, Nicola- Consoli, Arturo- Rosi, Andrea- Nappini, Sergio- Giordano, Flavio- Genitori, Lorenzo- Mangiafico, Salvatore;Journal of neurosurgery. Pediatrics;"https://doi.org/10.3171/2014.11.peds13437; https://www.ncbi.nlm.nih.gov/pubmed/25634817/"
d4b54w30;Medline;Functional reorganization during the recovery of contralesional target selection deficits after prefrontal cortex lesions in macaque monkeys.;10.1016/j.neuroimage.2019.116339;unk;7/11/2019;Adam, Ramina- Johnston, Kevin- Menon, Ravi S- Everling, Stefan;NeuroImage;"https://doi.org/10.1016/j.neuroimage.2019.116339; https://www.ncbi.nlm.nih.gov/pubmed/31707193/"
fk3vniap;Medline;Reversible cerebral vasoconstriction syndrome occurring after uterine artery embolization for uterine fibroids.;10.1016/j.jvir.2012.07.015;unk;2012;Mori, Kensaku- Enomoto, Takao- Saida, Tsukasa- Shiigai, Masanari- Osada, Kayo- Tanaka, Nami- Minami, Manabu;Journal of vascular and interventional radiology : JVIR;"https://doi.org/10.1016/j.jvir.2012.07.015; https://www.ncbi.nlm.nih.gov/pubmed/22999763/"
v97dczcc;Medline;Anti-inflammatory effect of a novel food Cordyceps guangdongensis on experimental rats with chronic bronchitis induced by tobacco smoking.;10.1039/c4fo00294f;unk;2014;Yan, Wenjuan- Li, Taihui- Zhong, Zhiyong;Food & function;"https://doi.org/10.1039/c4fo00294f; https://www.ncbi.nlm.nih.gov/pubmed/25135295/"
tpg9xrz8;Medline;New tools aim to tame pandemic paper tsunami.;10.1126/science.368.6494.924;unk;29/5/2020;Brainard, Jeffrey;Science;"https://doi.org/10.1126/science.368.6494.924; https://www.ncbi.nlm.nih.gov/pubmed/32467369/"
4id83ads;Medline;Susceptibility to flavivirus-specific antiviral response of Oas1b affects the neurovirulence of the Far-Eastern subtype of tick-borne encephalitis virus.;10.1007/s00705-012-1579-1;unk;2013;Yoshii, Kentaro- Moritoh, Kanako- Nagata, Noriyo- Yokozawa, Kana- Sakai, Mizuki- Sasaki, Nobuya- Kariwa, Hiroaki- Agui, Takashi- Takashima, Ikuo;Archives of virology;"https://doi.org/10.1007/s00705-012-1579-1; https://www.ncbi.nlm.nih.gov/pubmed/23266832/"
u1c3m300;Medline;Dynamism of immune reactions and regulation.;10.1093/intimm/dxs079;unk;2012;Kurosaki, Tomohiro- Saito, Takashi- Kumanogoh, Atsushi- Takeda, Kiyoshi- Kaisho, Tsuneyasu;International immunology;"https://doi.org/10.1093/intimm/dxs079; https://www.ncbi.nlm.nih.gov/pubmed/22843775/"
0ectxmdg;Medline;Medical imaging: the radiation issue.;10.1038/nrcardio.2009.53;unk;2009;Einstein, Andrew J;Nature reviews. Cardiology;"https://doi.org/10.1038/nrcardio.2009.53; https://www.ncbi.nlm.nih.gov/pubmed/19471288/"
nub5jv5w;Medline;Pharmacokinetic-pharmacodynamic relationship of anesthetic drugs: from modeling to clinical use.;10.12688/f1000research.6601.1;unk;2015;Billard, Valerie;F1000Research;"https://doi.org/10.12688/f1000research.6601.1; https://www.ncbi.nlm.nih.gov/pubmed/26918133/"
oyi3iigt;Medline;Screening and Severity of Coronavirus Disease 2019 (COVID-19) in Children in Madrid, Spain.;10.1001/jamapediatrics.2020.1346;unk;8/4/2020;Tagarro, Alfredo- Epalza, Cristina- Santos, Mar- Sanz-Santaeufemia, Francisco José- Otheo, Enrique- Moraleda, Cinta- Calvo, Cristina;JAMA pediatrics;"https://doi.org/10.1001/jamapediatrics.2020.1346; https://www.ncbi.nlm.nih.gov/pubmed/32267485/"
uxx8lpxt;Medline;Single-incision sleeve gastrectomy using a novel technique for liver retraction.;10.4293/108680810x12785289144278;unk;2010;Galvani, Carlos A- Choh, Mark- Gorodner, Maria V;JSLS : Journal of the Society of Laparoendoscopic Surgeons;"https://doi.org/10.4293/108680810x12785289144278; https://www.ncbi.nlm.nih.gov/pubmed/20932374/"
yljv6o7v;Medline;A comparative study of standard versus laparoendoscopic single-site surgery (LESS) totally extraperitoneal (TEP) inguinal hernia repair.;10.1007/s00464-011-1636-y;unk;2011;Tai, Huai-Ching- Lin, Chia-Da- Chung, Shiu-Dong- Chueh, Shih-Chieh Jeff- Tsai, Yao-Chou- Yang, Stephen Shei-Dei;Surgical endoscopy;"https://doi.org/10.1007/s00464-011-1636-y; https://www.ncbi.nlm.nih.gov/pubmed/21667210/"
i8jv5iqo;Medline;Early postmortem brain MRI findings in COVID-19 non-survivors.;10.1212/wnl.0000000000010116;unk;16/6/2020;Coolen, Tim- Lolli, Valentina- Sadeghi, Niloufar- Rovaï, Antonin- Trotta, Nicola- Taccone, Fabio Silvio- Creteur, Jacques- Henrard, Sophie- Goffard, Jean-Christophe- De Witte, Olivier- Naeije, Gilles- Goldman, Serge- De Tiège, Xavier;Neurology;"https://doi.org/10.1212/wnl.0000000000010116; https://www.ncbi.nlm.nih.gov/pubmed/32546654/"
rus14cn1;Medline;EUS-guided tissue acquisition in the study of the adrenal glands: Results of a nationwide multicenter study.;10.1371/journal.pone.0216658;unk;2019;Martin-Cardona, A- Fernandez-Esparrach, G- Subtil, J C- Iglesias-Garcia, J- Garcia-Guix, M- Barturen Barroso, A- Gimeno-Garcia, A Z- Esteban, J M- Pardo Balteiro, A- Velasco-Guardado, A- Vazquez-Sequeiros, E- Loras, C- Martinez-Moreno, B- Castellot, A- Huertas, C- Martinez-Lapiedra, M- Sanchez-Yague, A- Teran, A- Morales-Alvarado, V J- Betes, M- de la Iglesia, D- Sánchez-Montes, C- Lozano, M D- Lariño-Noia, J- Gines, A- Tebe, C- Gornals, J B;PloS one;"https://doi.org/10.1371/journal.pone.0216658; https://www.ncbi.nlm.nih.gov/pubmed/31170163/"
1nhbzxco;Medline;Duration of SARS-CoV-2 viral shedding during COVID-19 infection.;10.1080/23744235.2020.1748705;unk;10/4/2020;Qian, Guo-Qing- Chen, Xue-Qin- Lv, Ding-Feng- Ma, Ada Hoi Yan- Wang, Li-Ping- Yang, Nai-Bin- Chen, Xiao-Min;Infectious diseases;"https://doi.org/10.1080/23744235.2020.1748705; https://www.ncbi.nlm.nih.gov/pubmed/32275181/"
1em8h3kb;Medline;Pharmaco-mechanical thrombectomy for early thrombus removal.;10.1258/phleb.2012.012s14;unk;2012;Malgor, R D- Gasparis, A P;Phlebology;"https://doi.org/10.1258/phleb.2012.012s14; https://www.ncbi.nlm.nih.gov/pubmed/22312084/"
v3cnggf5;Medline;Reliability of lithium dilution cardiac output in anaesthetized sheep.;10.1093/bja/aet220;unk;2013;Axiak Flammer, S M- Critchley, L A- Weber, A- Pirbodaghi, T- Brinks, H- Vandenberghe, S;British journal of anaesthesia;"https://doi.org/10.1093/bja/aet220; https://www.ncbi.nlm.nih.gov/pubmed/23838805/"
6nni55zr;Medline;An empirical analysis of the non-linear impacts of ICT-trade openness on renewable energy transition, energy efficiency, clean cooking fuel access and environmental sustainability in South Asia.;10.1007/s11356-020-09497-3;unk;18/6/2020;Murshed, Muntasir;Environmental science and pollution research international;"https://doi.org/10.1007/s11356-020-09497-3; https://www.ncbi.nlm.nih.gov/pubmed/32556989/"
gilsnys0;Medline;Keeping an eye on COVID-19: Ophthalmic care and triage for general practitioners.;10.31128/ajgp-covid-10;unk;17/4/2020;Fung, Adrian T- Yang, Xinyi- Mack, Heather G;Australian journal of general practice;"https://doi.org/10.31128/ajgp-covid-10; https://www.ncbi.nlm.nih.gov/pubmed/32299195/"
dkxjllcx;Medline;Uniportal subxiphoid video-assisted thoracoscopic thymectomy.;10.21037/jovs.2016.07.03;unk;2016;Suda, Takashi;Journal of visualized surgery;"https://doi.org/10.21037/jovs.2016.07.03; https://www.ncbi.nlm.nih.gov/pubmed/29399508/"
e4sshkgk;Medline;Best Practices for Healthcare Facility and Regional Stockpile Maintenance and Sustainment: A Literature Review.;10.1089/hs.2016.0123;unk;2017;Rebmann, Terri- McPhee, Kyle- Osborne, Leslie- Gillen, Daniel P- Haas, Gabriel A;Health security;"https://doi.org/10.1089/hs.2016.0123; https://www.ncbi.nlm.nih.gov/pubmed/28767309/"
iha9gjt4;Medline;Update to device-related pressure ulcers: SECURE prevention. COVID-19, face masks and skin damage.;10.12968/jowc.2020.29.5.245;unk;2/5/2020;Gefen, Amit- Ousey, Karen;Journal of wound care;"https://doi.org/10.12968/jowc.2020.29.5.245; https://www.ncbi.nlm.nih.gov/pubmed/32421479/"
tgv2twsy;Medline;Interorganizational Coordination and Collaboration During the 2015 MERS-CoV Response in South Korea.;10.1017/dmp.2020.32;unk;13/4/2020;Kim, Yushim- Oh, Seong Soo- Ku, Minyoung- Byeon, Jihyun;Disaster medicine and public health preparedness;"https://doi.org/10.1017/dmp.2020.32; https://www.ncbi.nlm.nih.gov/pubmed/32279680/"
lajya741;Medline;Long-term quality of life and nutrition status of the aboral pouch reconstruction after total gastrectomy for gastric cancer: a prospective multicenter observational study (CCOG1505).;10.1007/s10120-018-0893-z;unk;2019;Tanaka, Chie- Kanda, Mitsuro- Murotani, Kenta- Yoshikawa, Takaki- Cho, Haruhiko- Ito, Yuichi- Matsui, Takanori- Nakayama, Hiroshi- Yamada, Takanobu- Kobayashi, Daisuke- Fujiwara, Michitaka- Kodera, Yasuhiro;Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association;"https://doi.org/10.1007/s10120-018-0893-z; https://www.ncbi.nlm.nih.gov/pubmed/30382468/"
ysonjtib;Medline;Advancing Marksman into contralateral vertebral artery in the treatment of intradural vertebral artery dissecting aneurysm with Pipeline.;10.1177/1591019916681982;unk;2017;Zhang, Yupeng- Liang, Shikai- Jiang, Chuhan;Interventional neuroradiology : journal of peritherapeutic neuroradiology, surgical procedures and related neurosciences;"https://doi.org/10.1177/1591019916681982; https://www.ncbi.nlm.nih.gov/pubmed/27956519/"
83riv5dr;Medline;Proximal Jejunal Bypass Improves the Outcome of Gastric Clip in Patients with Obesity and Type 2 Diabetes Mellitus.;10.1007/s11695-018-3607-z;unk;2019;Chao, Seh-Huang- Lin, Chia-Lin- Lee, Wei-Jei- Chen, Jung-Chien- Chou, Ju Jun;Obesity surgery;"https://doi.org/10.1007/s11695-018-3607-z; https://www.ncbi.nlm.nih.gov/pubmed/30697678/"
izr3gbte;Medline;Randomised controlled trial of transanal endoscopic microsurgery versus endoscopic mucosal resection for large rectal adenomas (TREND Study).;10.1136/gutjnl-2016-313101;unk;2018;Barendse, Renée M- Musters, Gijsbert D- de Graaf, Eelco J R- van den Broek, Frank J C- Consten, Esther C J- Doornebosch, Pascal G- Hardwick, James C- de Hingh, Ignace H J T- Hoff, Chrisiaan- Jansen, Jeroen M- van Milligen de Wit, A W Marc- van der Schelling, George P- Schoon, Erik J- Schwartz, Matthijs P- Weusten, Bas L A M- Dijkgraaf, Marcel G- Fockens, Paul- Bemelman, Willem A- Dekker, Evelien;Gut;"https://doi.org/10.1136/gutjnl-2016-313101; https://www.ncbi.nlm.nih.gov/pubmed/28659349/"
vs8w873d;Medline;Protecting health care workers from tuberculosis in China: a review of policy and practice in China and the United States.;10.1093/heapol/czs029;unk;2013;Chai, Shua J- Mattingly, Daniel C- Varma, Jay K;Health policy and planning;"https://doi.org/10.1093/heapol/czs029; https://www.ncbi.nlm.nih.gov/pubmed/22427258/"
hqjrzd26;Medline;Predictive value of self-reported patient information for the identification of lumbar spinal stenosis.;10.1093/fampra/cmn031;unk;2008;Sugioka, Takashi- Hayashino, Yasuaki- Konno, Shinichi- Kikuchi, Shinichi- Fukuhara, Shunichi;Family practice;"https://doi.org/10.1093/fampra/cmn031; https://www.ncbi.nlm.nih.gov/pubmed/18552358/"
h9nxk9xn;Medline;Staged-volume radiosurgery for large arteriovenous malformations: a review.;10.3171/2014.6.focus14217;unk;2014;AlKhalili, Kenan- Chalouhi, Nohra- Tjoumakaris, Stavropoula- Rosenwasser, Robert- Jabbour, Pascal;Neurosurgical focus;"https://doi.org/10.3171/2014.6.focus14217; https://www.ncbi.nlm.nih.gov/pubmed/25175440/"
eclzywm1;Medline;Progressive deconstruction: a novel aneurysm treatment using the pipeline embolization device for competitive flow diversion: case report.;10.1227/neu.0000000000000029;unk;2014;Wajnberg, Eduardo- Silva, Thiago S- Johnson, Andrew K- Lopes, Demetrius K;Neurosurgery;"https://doi.org/10.1227/neu.0000000000000029; https://www.ncbi.nlm.nih.gov/pubmed/23787883/"
hof9igje;Medline;The care of pregnant women during the COVID-19 pandemic - response of a large health system in metropolitan New York.;10.1515/jpm-2020-0175;unk;20/5/2020;Rochelson, Burton- Nimaroff, Michael- Combs, Adriann- Schwartz, Benjamin- Meirowitz, Natalie- Vohra, Nidhi- Klein, Victor R- Santandreu, Orlando- Kramer, Mitchell- Mootabar, Navid- Serur, Eli- Spiryda, Lisa- Berlin, Scott- Chervenak, Frank;Journal of perinatal medicine;"https://doi.org/10.1515/jpm-2020-0175; https://www.ncbi.nlm.nih.gov/pubmed/32432568/"
hlkpvrhg;Medline;B Cells, Viruses, and the SARS-CoV-2/COVID-19 Pandemic of 2020.;10.1089/vim.2020.0055;unk;29/4/2020;Hurwitz, Julia L;Viral immunology;"https://doi.org/10.1089/vim.2020.0055; https://www.ncbi.nlm.nih.gov/pubmed/32348715/"
1ebmmjve;Medline;Long-term Pulmonary Consequences of Coronavirus Disease 2019 (COVID-19): What We Know and What to Expect.;10.1097/rti.0000000000000534;unk;12/5/2020;Salehi, Sana- Reddy, Sravanthi- Gholamrezanezhad, Ali;Journal of thoracic imaging;"https://doi.org/10.1097/rti.0000000000000534; https://www.ncbi.nlm.nih.gov/pubmed/32404798/"
b41oinpz;Medline;Time to Reperfusion and Treatment Effect for Acute Ischemic Stroke: A Randomized Clinical Trial.;10.1001/jamaneurol.2015.3886;unk;2016;Fransen, Puck S S- Berkhemer, Olvert A- Lingsma, Hester F- Beumer, Debbie- van den Berg, Lucie A- Yoo, Albert J- Schonewille, Wouter J- Vos, Jan Albert- Nederkoorn, Paul J- Wermer, Marieke J H- van Walderveen, Marianne A A- Staals, Julie- Hofmeijer, Jeannette- van Oostayen, Jacques A- Lycklama À Nijeholt, Geert J- Boiten, Jelis- Brouwer, Patrick A- Emmer, Bart J- de Bruijn, Sebastiaan F- van Dijk, Lukas C- Kappelle, L Jaap- Lo, Rob H- van Dijk, Ewoud J- de Vries, Joost- de Kort, Paul L M- van den Berg, J S Peter- van Hasselt, Boudewijn A A M- Aerden, Leo A M- Dallinga, René J- Visser, Marieke C- Bot, Joseph C J- Vroomen, Patrick C- Eshghi, Omid- Schreuder, Tobien H C M L- Heijboer, Roel J J- Keizer, Koos- Tielbeek, Alexander V- den Hertog, Heleen M- Gerrits, Dick G- van den Berg-Vos, Renske M- Karas, Giorgos B- Steyerberg, Ewout W- Flach, H Zwenneke- Marquering, Henk A- Sprengers, Marieke E S- Jenniskens, Sjoerd F M- Beenen, Ludo F M- van den Berg, René- Koudstaal, Peter J- van Zwam, Wim H- Roos, Yvo B W E M- van Oostenbrugge, Robert J- Majoie, Charles B L M- van der Lugt, Aad- Dippel, Diederik W J;JAMA neurology;"https://doi.org/10.1001/jamaneurol.2015.3886; https://www.ncbi.nlm.nih.gov/pubmed/26716735/"
dvhr9dru;Medline;Detection of respiratory viruses and Legionella spp. by real-time polymerase chain reaction in patients with community acquired pneumonia.;10.1080/00365540802448799;unk;2009;Diederen, Bram M W- Van Der Eerden, Menno M- Vlaspolder, Fer- Boersma, Wim G- Kluytmans, Jan A J W- Peeters, Marcel F;Scandinavian journal of infectious diseases;"https://doi.org/10.1080/00365540802448799; https://www.ncbi.nlm.nih.gov/pubmed/18821175/"
vq9886cv;Medline;Complex retrieval of fractured, embedded, and penetrating inferior vena cava filters: a prospective study with histologic and electron microscopic analysis.;10.1016/j.jvir.2013.01.008;unk;2013;Kuo, William T- Robertson, Scott W- Odegaard, Justin I- Hofmann, Lawrence V;Journal of vascular and interventional radiology : JVIR;"https://doi.org/10.1016/j.jvir.2013.01.008; https://www.ncbi.nlm.nih.gov/pubmed/23523157/"
3tzwut2o;Medline;Forced arterial suction thrombectomy with the penumbra reperfusion catheter in acute basilar artery occlusion: a retrospective comparison study in 2 Korean university hospitals.;10.3174/ajnr.a4045;unk;2014;Eom, Y-I- Hwang, Y-H- Hong, J M- Choi, J W- Lim, Y C- Kang, D-H- Kim, Y-W- Kim, Y-S- Kim, S Y- Lee, J S;AJNR. American journal of neuroradiology;"https://doi.org/10.3174/ajnr.a4045; https://www.ncbi.nlm.nih.gov/pubmed/25034774/"
h9yy3l8h;Medline;Navien catheter experience in neuroendovascular interventions.;10.1177/1591019917717575;unk;2017;Jindal, Gaurav- Giacon, Luciano- Iyoha, Moronke- Miller, Timothy- Aldrich, Francois- Simard, Marc- Shivashankar, Ravishankar- Gandhi, Dheeraj;Interventional neuroradiology : journal of peritherapeutic neuroradiology, surgical procedures and related neurosciences;"https://doi.org/10.1177/1591019917717575; https://www.ncbi.nlm.nih.gov/pubmed/28675348/"
3afz87r8;Medline;Transcaval retrograde transcatheter aortic valve replacement for patients with no other access: first-in-man experience with CoreValve.;10.1016/j.jcin.2014.03.008;unk;2014;Martinez-Clark, Pedro O- Singh, Vikas- Cadena, Jairo A- Cucalon Reyes, Angela Maria- Gallegos, Cesia- Dager, Antonio- Greenbaum, Adam- O'Neill, William W;JACC. Cardiovascular interventions;"https://doi.org/10.1016/j.jcin.2014.03.008; https://www.ncbi.nlm.nih.gov/pubmed/25129663/"
3u7afteb;Medline;Biosafety in surgical pathology in the era of SARS-Cov2 pandemia. A statement of the Italian Society of Surgical Pathology and Cytology.;10.32074/1591-951x-14-20;unk;1/4/2020;Barbareschi, Mattia- Ascoli, Valeria- Bonoldi, Emanuela- Cavazza, Alberto- Colombari, Romano- Cozzi, Ilaria- Dainese, Emanuele- Facchetti, Fabio- Fadda, Guido- Ferrara, Gerardo- Fraggetta, Filippo- Graziano, Paolo- Murer, Giancarlo- Rossi, Esther Diana- Rossi, Giulio- Negri, Giovanni- Zannoni, Gianfranco- Sapino, Anna;Pathologica;"https://doi.org/10.32074/1591-951x-14-20; https://www.ncbi.nlm.nih.gov/pubmed/32324726/"
lffsqxtx;Medline;[EMCAM (Multiple Sclerosis Autonomous Community of Madrid) document for the management of patients with multiple sclerosis during the SARS-CoV-2 pandemic].;10.33588/rn.7009.2020155;unk;1/5/2020;Costa-Frossard, L- Moreno-Torres, I- Meca-Lallana, V- García-Domínguez, J M- En Representación Del Grupo de Estudio de Enfermed, En Representación Del Grupo de Estudio de Enfermedade;Revista de neurologia;"https://doi.org/10.33588/rn.7009.2020155; https://www.ncbi.nlm.nih.gov/pubmed/32329046/"
hontzz6n;Medline;Subcutaneous Ustekinumab Provides Clinical Benefit for Two-Thirds of Patients With Crohn's Disease Refractory to Anti-Tumor Necrosis Factor Agents.;10.1016/j.cgh.2015.09.018;unk;2016;Wils, Pauline- Bouhnik, Yoram- Michetti, Pierre- Flourie, Bernard- Brixi, Hedia- Bourrier, Anne- Allez, Matthieu- Duclos, Bernard- Grimaud, Jean-Charles- Buisson, Anthony- Amiot, Aurélien- Fumery, Mathurin- Roblin, Xavier- Peyrin-Biroulet, Laurent- Filippi, Jérôme- Bouguen, Guillaume- Abitbol, Vered- Coffin, Benoit- Simon, Marion- Laharie, David- Pariente, Benjamin;Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association;"https://doi.org/10.1016/j.cgh.2015.09.018; https://www.ncbi.nlm.nih.gov/pubmed/26432476/"
zgfcei7x;Medline;A critical appraisal of the quality of critical care pharmacotherapy clinical practice guidelines and their strength of recommendations.;10.1007/s00134-010-1786-8;unk;2010;Gorman, Sean K- Chung, Michelle Ho- Slavik, Richard S- Zed, Peter J- Wilbur, Kerry- Dhingra, Vinay K;Intensive care medicine;"https://doi.org/10.1007/s00134-010-1786-8; https://www.ncbi.nlm.nih.gov/pubmed/20217048/"
kdbj6kys;Medline;Dilemmas in resuscitation of COVID-19 patients based on current evidence.;10.5603/cj.a2020.0066;unk;18/5/2020;Szarpak, Lukasz- Ruetzler, Kurt- Dabrowski, Marek- Nadolny, Klaudiusz- Ladny, Jerzy R- Smereka, Jacek- Jaguszewski, Milosz- Filipiak, Krzysztof J;Cardiology journal;"https://doi.org/10.5603/cj.a2020.0066; https://www.ncbi.nlm.nih.gov/pubmed/32419130/"
fd4mixxf;Medline;Single-incision laparoscopic surgery and conventional laparoscopic treatment of varicocele in adolescents: Comparison between two techniques.;10.4103/0189-6725.137325;unk;2014;Marte, Antonio- Pintozzi, Lucia- Cavaiuolo, Silvia- Parmeggiani, Pio;African journal of paediatric surgery : AJPS;"https://doi.org/10.4103/0189-6725.137325; https://www.ncbi.nlm.nih.gov/pubmed/25047308/"
8pstecvj;Medline;UV inactivation and resistance of rotavirus evaluated by integrated cell culture and real-time RT-PCR assay.;10.1016/j.watres.2009.03.044;unk;2009;Li, Dan- Gu, April Z- He, Miao- Shi, Han-Chang- Yang, Wan;Water research;"https://doi.org/10.1016/j.watres.2009.03.044; https://www.ncbi.nlm.nih.gov/pubmed/19501383/"
kd1iii8s;Medline;The impact of route of anesthesia on maternal and fetal ischemia modified albumin levels at cesarean section: a prospective randomized study.;10.1515/jpm-2012-0257;unk;2013;Caglar, Gamze Sinem- Erdogdu, Perihan- Gursoy, Asl? Yarc?- Seker, Rabia- Demirtas, Selda;Journal of perinatal medicine;"https://doi.org/10.1515/jpm-2012-0257; https://www.ncbi.nlm.nih.gov/pubmed/23751381/"
lqa3wgmj;Medline;Correlation between age and weight loss after bariatric surgery.;10.1007/s11695-013-0905-3;unk;2013;Contreras, Juan Eduardo- Santander, Carmen- Court, Ismael- Bravo, Jorge;Obesity surgery;"https://doi.org/10.1007/s11695-013-0905-3; https://www.ncbi.nlm.nih.gov/pubmed/23462862/"
a0fa1ht3;Medline;Patented small molecule inhibitors of p53-MDM2 interaction.;10.1517/13543776.16.2.165;unk;2006;Deng, Jinxia- Dayam, Raveendra- Neamati, Nouri;Expert opinion on therapeutic patents;"https://doi.org/10.1517/13543776.16.2.165; https://www.ncbi.nlm.nih.gov/pubmed/20141510/"
